Ingredient,Class
Pasta,Boxed or bagged item
Vodka sauce,Jar
Ground beef,Meat
Onion,Fresh produce
Parmigiana reggiano,Dairy
Salad or garlic bread,Side
White rice,Boxed or bagged item
Egg,Dairy
Frozen peas and carrots,Frozen
Vegetable oil,Baking
Chicken,Meat
Ground beef or ground turkey,Meat
Tomato paste,Canned
Tomato sauce,Canned
Diced tomatoes,Canned
Mixed beans,Canned
Sour cream,Dairy
Shredded cheese,Dairy
Tortilla chips,Side
Olive oil,Baking
Beef broth,Boxed or bagged item
Garlic,Fresh produce
Chicken broth,Boxed or bagged item
Butter,Dairy
Flour,Baking
Parmigiano reggiano,Dairy
Milk or heavy cream,Dairy
Cherry tomatoes,Fresh produce
Spinach,Fresh produce
Eggs,Dairy
Bread crumbs,Baking
Potato side,Fresh produce
Vegetable side,Fresh produce
Dipping sauce,Condiment
Tortillas,Bread
Refried beans,Canned
Bell pepper,Fresh produce
Hot sauce,Condiment
Avocado,Fresh produce
Lime juice,Fresh produce
Taco kit,Boxed or bagged item
Shredded lettuce,Fresh produce
Chicken wings,Meat
Steak,Meat
Dough,Bread
Pizza sauce,Jar
Mozzarella,Dairy
Pepperoni,Meat
Black olives,Canned
Green pepper,Fresh produce
Cornstarch,Baking
Sweet chili sauce,International
Mayo,Condiment
Rice vinegar,International
Sambal oelek,International
Green onion,Fresh produce
Snow peas,Fresh produce
Sausage,Meat
Starch side,Side
Noodle packet,Boxed or bagged item
Gochojong,International
Soy sauce,International
Pork chops,Meat
Buns,Bread
Sliced cheese,Dairy
Tomato,Fresh produce
Lettuce,Fresh produce
Ketchup,Condiment
Potatoes,Fresh produce
